#         BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1    8.000000e-01    8.000000e-01    0.000000e+00
               2    8.000000e-01    8.000000e-01    0.000000e+00
               3    8.000000e-01    8.000000e-01    0.000000e+00
               4    8.000000e-01    8.000000e-01    0.000000e+00
               5    8.000000e-01    8.000000e-01    0.000000e+00
               6    8.000000e-01    8.000000e-01    0.000000e+00
               7    8.000000e-01    8.000000e-01    6.897897e-09
               8    8.000000e-01    8.000000e-01    5.268356e-09
               9    8.000000e-01    8.000000e-01    4.967054e-09
              10    8.000000e-01    8.000000e-01    3.332001e-09
              11    8.000000e-01    8.000000e-01    3.176938e-09
              12    8.000000e-01    8.000000e-01    3.041687e-09
              13    8.000000e-01    8.000000e-01    4.132839e-09
              14    8.000000e-01    8.000000e-01    3.982503e-09
              15    8.000000e-01    8.000000e-01    4.712161e-09
              16    8.000000e-01    8.000000e-01    4.562530e-09
              17    8.000000e-01    8.000000e-01    4.426304e-09
              18    8.000000e-01    8.000000e-01    4.301595e-09
              19    8.000000e-01    8.000000e-01    5.405219e-09
              20    8.000000e-01    8.000000e-01    5.268356e-09
              21    8.000000e-01    8.000000e-01    5.141389e-09
              22    8.000000e-01    8.000000e-01    5.502618e-09
              23    8.000000e-01    8.000000e-01    5.381667e-09
              24    8.000000e-01    8.000000e-01    5.268356e-09
              25    8.000000e-01    8.000000e-01    5.161914e-09
              26    8.000000e-01    8.000000e-01    5.467231e-09
              27    8.000000e-01    8.000000e-01    5.365031e-09
              28    8.000000e-01    8.000000e-01    5.268356e-09
              29    8.000000e-01    8.000000e-01    5.176725e-09
              30    8.000000e-01    8.000000e-01    5.089716e-09
              31    8.000000e-01    8.000000e-01    5.006950e-09
              32    8.000000e-01    8.000000e-01    4.928096e-09
              33    8.000000e-01    8.000000e-01    4.852853e-09
              34    8.000000e-01    8.000000e-01    4.780955e-09
              35    8.000000e-01    8.000000e-01    4.712161e-09
              36    8.000000e-01    8.000000e-01    4.646253e-09
              37    8.000000e-01    8.000000e-01    4.583036e-09
              38    8.000000e-01    8.000000e-01    4.522331e-09
              39    8.000000e-01    8.000000e-01    4.463976e-09
              40    8.000000e-01    8.000000e-01    4.407823e-09
              41    8.000000e-01    8.000000e-01    4.353737e-09
              42    8.000000e-01    8.000000e-01    3.982503e-09
              43    8.000000e-01    8.000000e-01    3.213667e-09
              44    8.000000e-01    8.000000e-01    3.176938e-09
              45    8.000000e-01    8.000000e-01    2.720567e-09
              46    8.000000e-01    8.000000e-01    1.553553e-09
              47    8.000000e-01    8.000000e-01    1.536937e-09
              48    8.000000e-01    8.000000e-01    1.520843e-09
              49    8.000000e-01    8.000000e-01    1.505245e-09
              50    8.000000e-01    8.000000e-01    2.107342e-09
              51    8.000000e-01    8.000000e-01    2.086580e-09
              52    8.000000e-01    8.000000e-01    2.922358e-09
              53    8.000000e-01    8.000000e-01    3.236325e-09
              54    8.000000e-01    8.000000e-01    3.206219e-09
              55    8.000000e-01    8.000000e-01    3.759004e-09
              56    8.000000e-01    8.000000e-01    3.725290e-09
              57    8.000000e-01    8.000000e-01    4.413343e-09
              58    8.000000e-01    8.000000e-01    4.375132e-09
              59    8.000000e-01    8.000000e-01    4.549623e-09
              60    8.000000e-01    8.000000e-01    4.904573e-09
              61    8.000000e-01    8.000000e-01    5.047824e-09
              62    8.000000e-01    8.000000e-01    5.006950e-09
              63    8.000000e-01    8.000000e-01    5.310004e-09
              64    8.000000e-01    8.000000e-01    5.268356e-09
              65    8.000000e-01    8.000000e-01    5.227673e-09
              66    8.000000e-01    8.000000e-01    5.653403e-09
              67    8.000000e-01    8.000000e-01    5.611055e-09
              68    8.000000e-01    8.000000e-01    5.569644e-09
              69    8.000000e-01    8.000000e-01    5.672775e-09
              70    8.000000e-01    8.000000e-01    5.771195e-09
              71    8.000000e-01    8.000000e-01    5.730409e-09
              72    8.000000e-01    8.000000e-01    5.824387e-09
              73    8.000000e-01    8.000000e-01    5.784356e-09
              74    8.000000e-01    8.000000e-01    6.000603e-09
              75    8.000000e-01    8.000000e-01    6.083374e-09
              76    8.000000e-01    8.000000e-01    6.043219e-09
              77    8.000000e-01    8.000000e-01    6.003849e-09
              78    8.000000e-01    8.000000e-01    5.965239e-09
